ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
f4915fb1-316e-4e2a-9e25-63b38b9d5ef1,Colbúfala Villa Grande,(604) 3221739,Restaurante,"4,2",(17),Envigado,Antioquia,(604) 3221739,N/A,"Lacteos, Antioquia, Envigado",Otros
94af4649-b975-4894-88f2-57ba1c887330,BPA DISTRIBUIDORA Berpa Sabaneta,Cl. 68 Sur #43c-40,Comercio,"4,5",(243),Sabaneta,Antioquia,3223515,N/A,"Lacteos, Antioquia, Sabaneta",Otros
ebe3f605-223f-4526-8095-0d364d3e127d,Mercolanta Sabaneta Aves María,Cra. 44 #61sur58,Mercado,"4,3",(56),Sabaneta,Antioquia,(604) 2885921,N/A,"Lacteos, Antioquia, Sabaneta",Otros
ada2c0a7-270e-45f1-971e-c29e74939922,Planta colanta Sabaneta,"4,8(5)",N/A,"4,8",(5),Sabaneta,Antioquia,N/A,N/A,"Lacteos, Antioquia, Sabaneta",Otros
f6510b61-92c3-42c8-a367-d614e33a7e62,Fruttivos Messantia,302 3790691,Frutería,"4,0",(4),Sabaneta,Antioquia,302 3790691,N/A,"Lacteos, Antioquia, Sabaneta",Otros
3488acd9-7aa4-4464-9696-aa2d710c0ad7,La Casita del Queso,313 4243450,Quesería,N/A,N/A,Sabaneta,Antioquia,313 4243450,N/A,"Lacteos, Antioquia, Sabaneta",Otros
6eb685a1-2b3b-4723-9142-9e72fac3140d,Huevos y lácteos Lolita,No hay reseñas,N/A,N/A,N/A,Sabaneta,Antioquia,N/A,N/A,"Lacteos, Antioquia, Sabaneta",Lácteos
0d75cdc5-1880-4881-81c9-557ec9bcefe3,Distribuciones El Boom,310 6211014,Mercado de alimentos frescos,N/A,N/A,Apartadó,Antioquia,310 6211014,N/A,"Lacteos, Antioquia, Apartadó",Otros
78d95814-1eb5-422d-aa05-d400e707d6a0,Distribuciones la huerta,(604) 8287900,N/A,"4,0",(1),Apartadó,Antioquia,(604) 8287900,N/A,"Lacteos, Antioquia, Apartadó",Otros
b60d41df-87df-4ff3-946e-e7228c90df54,Supermercado D1 Apartadó,"a 94-76, Cra. 100 #94-2",Supermercado,"4,4",(332),Apartadó,Antioquia,01-800-0120201,http://www.d1.com.co/,"Lacteos, Antioquia, Apartadó",Otros
fe6c6181-e00b-4299-81f1-ea59a0756ed7,Comercializadora La Cosecha,Cerrado ⋅ Abre a las 8 a. m. del mié,N/A,"5,0",(1),Apartadó,Antioquia,N/A,N/A,"Lacteos, Antioquia, Apartadó",Otros
cb04555d-89d6-4dc7-9c35-a4b55977f4d2,Conalimentos cristian guzman,Cerrado ⋅ Abre a las 8 a. m. del mié,N/A,"4,5",(2),Apartadó,Antioquia,N/A,N/A,"Lacteos, Antioquia, Apartadó",Otros
